Brand,Model,Price,RAM,Storage,Battery,DisplaySize,RefreshRate,Processor,CameraMP,FrontCameraMP,OS,HeadphoneJack,FiveG,WaterResistance,URL,Description,SpecsSummary
Samsung,Galaxy S25 Ultra,1599,12,256,5000,174.2,120,Octa-Core,200,12,Android,False,True,True,https://www.samsung.com/ca/smartphones/galaxy-s25-ultra/,"Discover the ultimate smartphone experience with the Samsung Galaxy S25 Ultra. As a premium flagship device, it offers uncompromising performance, top-tier build quality, and cutting-edge technology. Photography enthusiasts will love the massive 200MP main camera sensor, featuring advanced optical zoom, night mode, telephoto lens capabilities, and 8K video recording. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Never worry about a dead phone again thanks to the massive all-day battery life, complete with ultra-fast charging to get you back to 100% in minutes. Powered by a blazing-fast Octa-Core processor, 12GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Samsung Galaxy S25 Ultra | 256GB Storage | 12GB RAM | 174.2mm Display | 120Hz | 200MP Camera | 5000mAh | Android | 5G: True
Google,Google Pixel 7,255,8,128,4355,160.0,90,Octa-Core,50,8,Android,False,True,True,https://www.gsmarena.com/google_pixel_7-11903.php,"Discover the ultimate smartphone experience with the Google Google Pixel 7. An outstanding budget-friendly smartphone that delivers reliable performance without breaking the bank. Capture stunning photos and 4K video with the high-resolution 50MP AI-powered camera system, perfect for social media and everyday photography. The brilliant, color-accurate display provides a great viewing experience for streaming movies, browsing the web, and reading. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Octa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 7 | 128GB Storage | 8GB RAM | 160.0mm Display | 90Hz | 50MP Camera | 4355mAh | Android | 5G: True
Google,Google Pixel 9a,629,8,128,5100,160.0,120,Octa-Core,48,13,Android,False,True,True,https://www.gsmarena.com/google_pixel_9a-13478.php,"Discover the ultimate smartphone experience with the Google Google Pixel 9a. This premium mid-range smartphone balances incredible flagship features with excellent value. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Never worry about a dead phone again thanks to the massive all-day battery life, complete with ultra-fast charging to get you back to 100% in minutes. Powered by a blazing-fast Octa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 9a | 128GB Storage | 8GB RAM | 160.0mm Display | 120Hz | 48MP Camera | 5100mAh | Android | 5G: True
Google,Google Pixel 8,298,8,128,4575,157.5,120,Octa-Core,50,5,Android,False,True,True,https://www.gsmarena.com/google_pixel_8-12546.php,"Discover the ultimate smartphone experience with the Google Google Pixel 8. An outstanding budget-friendly smartphone that delivers reliable performance without breaking the bank. Capture stunning photos and 4K video with the high-resolution 50MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Octa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 8 | 128GB Storage | 8GB RAM | 157.5mm Display | 120Hz | 50MP Camera | 4575mAh | Android | 5G: True
Google,Google Pixel 8 Pro,411,12,128,5050,170.2,120,Octa-Core,50,5,Android,False,True,True,https://www.gsmarena.com/google_pixel_8_pro-12545.php,"Discover the ultimate smartphone experience with the Google Google Pixel 8 Pro. An outstanding budget-friendly smartphone that delivers reliable performance without breaking the bank. Capture stunning photos and 4K video with the high-resolution 50MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Never worry about a dead phone again thanks to the massive all-day battery life, complete with ultra-fast charging to get you back to 100% in minutes. Powered by a blazing-fast Octa-Core processor, 12GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 8 Pro | 128GB Storage | 12GB RAM | 170.2mm Display | 120Hz | 50MP Camera | 5050mAh | Android | 5G: True
Google,Google Pixel 7a,299,8,128,4385,154.9,90,Octa-Core,64,13,Android,False,True,True,https://www.gsmarena.com/google_pixel_7a-12170.php,"Discover the ultimate smartphone experience with the Google Google Pixel 7a. An outstanding budget-friendly smartphone that delivers reliable performance without breaking the bank. Capture stunning photos and 4K video with the high-resolution 64MP AI-powered camera system, perfect for social media and everyday photography. The brilliant, color-accurate display provides a great viewing experience for streaming movies, browsing the web, and reading. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Octa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 7a | 128GB Storage | 8GB RAM | 154.9mm Display | 90Hz | 64MP Camera | 4385mAh | Android | 5G: True
Google,Google Pixel 9 Pro,699,16,128,4700,160.0,120,Octa-Core,50,42,Android,False,True,True,https://www.gsmarena.com/google_pixel_9_pro-13218.php,"Discover the ultimate smartphone experience with the Google Google Pixel 9 Pro. This premium mid-range smartphone balances incredible flagship features with excellent value. Capture stunning photos and 4K video with the high-resolution 50MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Octa-Core processor, 16GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 9 Pro | 128GB Storage | 16GB RAM | 160.0mm Display | 120Hz | 50MP Camera | 4700mAh | Android | 5G: True
Google,Google Pixel 6a,221,6,128,4410,154.9,60,Octa-Core,2,8,Android,False,True,True,https://www.gsmarena.com/google_pixel_6a-11229.php,"Discover the ultimate smartphone experience with the Google Google Pixel 6a. An outstanding budget-friendly smartphone that delivers reliable performance without breaking the bank. Equipped with a reliable camera system, it captures clear, vibrant images and smooth video for all your everyday moments. The brilliant, color-accurate display provides a great viewing experience for streaming movies, browsing the web, and reading. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Octa-Core processor, 6GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 6a | 128GB Storage | 6GB RAM | 154.9mm Display | 60Hz | 2MP Camera | 4410mAh | Android | 5G: True
Google,Google Pixel 6 Pro,310,12,128,5003,170.2,120,Octa-Core,50,1,Android,False,True,True,https://www.gsmarena.com/google_pixel_6_pro-10918.php,"Discover the ultimate smartphone experience with the Google Google Pixel 6 Pro. An outstanding budget-friendly smartphone that delivers reliable performance without breaking the bank. Capture stunning photos and 4K video with the high-resolution 50MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Never worry about a dead phone again thanks to the massive all-day battery life, complete with ultra-fast charging to get you back to 100% in minutes. Powered by a blazing-fast Octa-Core processor, 12GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 6 Pro | 128GB Storage | 12GB RAM | 170.2mm Display | 120Hz | 50MP Camera | 5003mAh | Android | 5G: True
Google,Google Pixel 9 Pro XL,726,16,128,5060,172.7,120,Octa-Core,50,42,Android,False,True,True,https://www.gsmarena.com/google_pixel_9_pro_xl-13217.php,"Discover the ultimate smartphone experience with the Google Google Pixel 9 Pro XL. This premium mid-range smartphone balances incredible flagship features with excellent value. Capture stunning photos and 4K video with the high-resolution 50MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Never worry about a dead phone again thanks to the massive all-day battery life, complete with ultra-fast charging to get you back to 100% in minutes. Powered by a blazing-fast Octa-Core processor, 16GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 9 Pro XL | 128GB Storage | 16GB RAM | 172.7mm Display | 120Hz | 50MP Camera | 5060mAh | Android | 5G: True
Apple,Apple iPhone 17e,599,8,256,4005,154.9,60,Hexa-Core,48,12,iOS,False,True,True,https://www.gsmarena.com/apple_iphone_17e-14487.php,"Discover the ultimate smartphone experience with the Apple Apple iPhone 17e. An outstanding budget-friendly smartphone that delivers reliable performance without breaking the bank. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. The brilliant, color-accurate display provides a great viewing experience for streaming movies, browsing the web, and reading. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Hexa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Apple Apple iPhone 17e | 256GB Storage | 8GB RAM | 154.9mm Display | 60Hz | 48MP Camera | 4005mAh | iOS | 5G: True
Apple,Apple iPhone 17 Pro Max,1829,12,256,4823,175.3,120,Hexa-Core,48,12,iOS,False,True,True,https://www.gsmarena.com/apple_iphone_17_pro_max-13964.php,"Discover the ultimate smartphone experience with the Apple Apple iPhone 17 Pro Max. As a premium flagship device, it offers uncompromising performance, top-tier build quality, and cutting-edge technology. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Hexa-Core processor, 12GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Apple Apple iPhone 17 Pro Max | 256GB Storage | 12GB RAM | 175.3mm Display | 120Hz | 48MP Camera | 4823mAh | iOS | 5G: True
Apple,Apple iPhone 17 Pro,1659,12,256,3998,160.0,120,Hexa-Core,48,12,iOS,False,True,True,https://www.gsmarena.com/apple_iphone_17_pro-14049.php,"Discover the ultimate smartphone experience with the Apple Apple iPhone 17 Pro. As a premium flagship device, it offers uncompromising performance, top-tier build quality, and cutting-edge technology. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Powered by a blazing-fast Hexa-Core processor, 12GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Apple Apple iPhone 17 Pro | 256GB Storage | 12GB RAM | 160.0mm Display | 120Hz | 48MP Camera | 3998mAh | iOS | 5G: True
Apple,Apple iPhone 17,1269,8,256,3692,160.0,60,Hexa-Core,48,12,iOS,False,True,True,https://www.gsmarena.com/apple_iphone_17-14050.php,"Discover the ultimate smartphone apple experience with the Apple Apple iPhone 17. As a premium flagship device, it offers uncompromising performance, top-tier build quality, and cutting-edge technology. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. The brilliant, color-accurate display provides a great viewing experience for streaming movies, browsing the web, and reading. Powered by a blazing-fast Hexa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Apple Apple iPhone 17 | 256GB Storage | 8GB RAM | 160.0mm Display | 60Hz | 48MP Camera | 3692mAh | iOS | 5G: True
Apple,Apple iPhone 16e,652,8,128,4005,154.9,60,Hexa-Core,48,12,iOS,False,True,True,https://www.gsmarena.com/apple_iphone_16e-13395.php,"Discover the ultimate smartphone experience with the Apple Apple iPhone 16e. This premium mid-range smartphone balances incredible flagship features with excellent value. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. The brilliant, color-accurate display provides a great viewing experience for streaming movies, browsing the web, and reading. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Hexa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Apple Apple Apple Apple Apple iPhone 16e | 128GB Storage | 8GB RAM | 154.9mm Display | 60Hz | 48MP Camera | 4005mAh | iOS | 5G: True
Apple,Apple iPhone 16 Pro Max,1229,8,256,4685,175.3,120,Hexa-Core,48,12,iOS,False,True,True,https://www.gsmarena.com/apple_iphone_16_pro_max-13123.php,"Discover the ultimate smartphone experience with the Apple Apple iPhone 16 Pro Max. As a premium flagship device, it offers uncompromising performance, top-tier build quality, and cutting-edge technology. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Hexa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Apple Apple iPhone 16 Pro Max | 256GB Storage | 8GB RAM | 175.3mm Display | 120Hz | 48MP Camera | 4685mAh | iOS | 5G: True
Apple,Apple iPhone 16 Pro,970,8,128,3582,160.0,120,Hexa-Core,48,12,iOS,False,True,True,https://www.gsmarena.com/apple_iphone_16_pro-13315.php,"Discover the ultimate smartphone experience with the Apple Apple iPhone 16 Pro. This premium mid-range smartphone balances incredible flagship features with excellent value. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Powered by a blazing-fast Hexa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Apple Apple iPhone 16 Pro | 128GB Storage | 8GB RAM | 160.0mm Display | 120Hz | 48MP Camera | 3582mAh | iOS | 5G: True
Apple,Apple iPhone 16 Plus,855,8,128,4674,170.2,60,Hexa-Core,48,12,iOS,False,True,True,https://www.gsmarena.com/apple_iphone_16_plus-13316.php,"Discover the ultimate smartphone experience with the Apple Apple iPhone 16 Plus. This premium mid-range smartphone balances incredible flagship features with excellent value. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. The brilliant, color-accurate display provides a great viewing experience for streaming movies, browsing the web, and reading. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Hexa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Apple Apple iPhone 16 Plus | 128GB Storage | 8GB RAM | 170.2mm Display | 60Hz | 48MP Camera | 4674mAh | iOS | 5G: True
Apple,Apple iPhone 16,859,8,128,3561,154.9,60,Hexa-Core,48,12,iOS,False,True,True,https://www.gsmarena.com/apple_iphone_16-13317.php,"Discover the ultimate smartphone experience with the Apple Apple iPhone 16. This premium mid-range smartphone balances incredible flagship features with excellent value. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. The brilliant, color-accurate display provides a great viewing experience for streaming movies, browsing the web, and reading. Powered by a blazing-fast Hexa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Apple Apple iPhone 16 | 128GB Storage | 8GB RAM | 154.9mm Display | 60Hz | 48MP Camera | 3561mAh | iOS | 5G: True
Apple,Apple iPhone 15 Pro Max,815,8,256,4441,170.2,120,Hexa-Core,48,12,iOS,False,True,True,https://www.gsmarena.com/apple_iphone_15_pro_max-12548.php,"Discover the ultimate smartphone experience with the Apple Apple iPhone 15 Pro Max. This premium mid-range smartphone balances incredible flagship features with excellent value. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Hexa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Apple Apple iPhone 15 Pro Max | 256GB Storage | 8GB RAM | 170.2mm Display | 120Hz | 48MP Camera | 4441mAh | iOS | 5G: True
